,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget
876,downton abbey,2019-09-25,"Drame, Historique",2h 03min,Michael Engler,Julian Fellowes,"Michelle Dockery, Hugh Bonneville, Maggie Smith",Grande-Bretagne,Universal Pictures International France,Box Office France,273446,"3,2","3,8",514849.0,20000000
877,rocketman,2019-05-29,"Biopic, Comédie musicale",2h 01min,Dexter Fletcher,Lee Hall,"Taron Egerton, Jamie Bell, Richard Madden",Grande-Bretagne,Paramount Pictures France,Box Office France,277017,"3,4","4,0",250041.0,40000000
878,silver linings playbook,2013-01-30,Comédie dramatique,2h 02min,David O. Russell,David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro",U.S.A.,StudioCanal,Box Office France,283208,"3,5","3,8",1982433.0,21000000
879,sonic the hedgehog 2,2022-03-30,"Animation, Famille, Aventure",2h 02min,Jeff Fowler,"Patrick Casey, Josh Miller (LVIII)","Jim Carrey, James Marsden, Idris Elba",U.S.A.,Paramount Pictures France,Box Office France,749372,"2,9","3,2",72081.0,110000000
880,l'immortel,2010-03-19,Policier,1h 55min,Richard Berry,"Richard Berry, Alexandre De La Patellière","Jean Reno, Kad Merad, Marina Foïs",France,EuropaCorp Distribution,Box Office France,475510,"2,4","3,3",1254786.0,24000000
881,seules les bêtes,2019-12-04,"Thriller, Policier, Drame",1h 57min,Dominik Moll,"Gilles Marchand, Dominik Moll","Denis Ménochet, Laure Calamy, Damien Bonnard",France,Haut et Court,Box Office France,48306,"3,7","3,8",343746.0,5000000
882,the witch,2016-06-15,Epouvante-horreur,1h 33min,Robert Eggers,Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie",U.S.A.,Universal Pictures International France,Box Office France,58580,"3,9","2,8",328885.0,3500000
883,body of lies,2008-11-05,"Action, Thriller, Espionnage",2h 08min,Ridley Scott,William Monahan,"Leonardo DiCaprio, Russell Crowe, Mark Strong",U.S.A.,Warner Bros. France,Box Office France,453376,"3,4","3,5",762399.0,70000000
884,alien: covenant,2017-05-10,"Science fiction, Epouvante-horreur, Action",2h 02min,Ridley Scott,"John Logan, Dante Harper","Michael Fassbender, Katherine Waterston, Billy Crudup",U.S.A.,Twentieth Century Fox France,Box Office France,675785,"3,2","2,8",769358.0,97000000
885,tenki no ko,2020-01-08,"Animation, Drame, Romance",1h 54min,Makoto Shinkai,Makoto Shinkai,"Gabriel Bismuth-Bienaimé, Kotaro Daigo, Maryne Bertieaux",Japon,Bac Films,Box Office France,95545,"3,8","4,2",621968.0,0
886,munich,2006-01-25,"Drame, Historique, Thriller, Espionnage",2h 40min,Steven Spielberg,"Eric Roth, Tony Kushner","Eric Bana, Daniel Craig, Ciarán Hinds",U.S.A.,United International Pictures (UIP),Box Office France,425873,"3,8","3,7",283151.0,70000000
887,black panther,2018-02-14,"Action, Aventure, Science fiction, Fantastique",2h 15min,Ryan Coogler,"Joe Robert Cole, Ryan Coogler","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o",U.S.A.,The Walt Disney Company France,Box Office France,1058869,"3,1","3,8",1119025.0,200000000
888,iron man,2008-04-30,"Action, Science fiction",2h 06min,Jon Favreau,"Arthur Marcum, Matt Holloway","Robert Downey Jr., Terrence Howard, Gwyneth Paltrow",U.S.A.,SND,Box Office France,866316,"3,4","4,0",950491.0,140000000
889,the cakemaker,2018-06-06,Drame,1h 45min,Ofir Raul Graizer,Ofir Raul Graizer,"Tim Kalkhof, Sarah Adler, Roy Miller",Allemagne,Damned Distribution,Box Office France,8188,"3,2","4,1",119297.0,0
890,the founder,2016-12-28,"Biopic, Drame",1h 55min,John Lee Hancock,Robert Siegel,"Michael Keaton, Nick Offerman, John Carroll Lynch",U.S.A.,EuropaCorp Distribution,Box Office France,45991,"3,1","3,8",390420.0,15000000
891,comme des frères,2012-11-21,Comédie,1h 44min,Hugo Gélin,"Hugo Gélin, Romain Protat","François-Xavier Demaison, Nicolas Duvauchelle, Pierre Niney",France,Stone Angels,Box Office France,154012,"3,5","3,8",2308103.0,0
892,creed,2016-01-13,Drame,2h 14min,Ryan Coogler,"Ryan Coogler, Aaron Covington","Michael B. Jordan, Sylvester Stallone, Tessa Thompson",U.S.A.,Warner Bros. France,Box Office France,644093,"3,6","4,1",650016.0,37000000
893,j'aime regarder les filles,2011-07-20,Comédie dramatique,1h 32min,Frédéric Louf,"Régis Jaulin, Frédéric Louf","Pierre Niney, Audrey Bastien, Lou de Laâge",France,Bac Films,Box Office France,24229,"2,9","3,1",710755.0,0
894,fantastic beasts and where to find them,2016-11-16,"Fantastique, Aventure",2h 13min,David Yates,J.K. Rowling,"Eddie Redmayne, Katherine Waterston, Dan Fogler",U.S.A.,Warner Bros. France,Box Office France,1420401,"3,5","4,0",1262378.0,180000000
895,dogman,2018-07-11,"Policier, Drame",1h 39min,Matteo Garrone,"Ugo Chiti, Massimo Gaudioso","Marcello Fonte, Edoardo Pesce, Nunzia Schiano",Italie,Le Pacte,Box Office France,50241,"3,9","3,7",423599.0,0
896,the darkest hour,2012-01-11,"Science fiction, Action, Epouvante-horreur",1h 29min,Chris Gorak,Jon Spaihts,"Emile Hirsch, Rachael Taylor, Olivia Thirlby",U.S.A.,Twentieth Century Fox France,Box Office France,105048,"1,3","1,7",1941058.0,30000000
898,chamboultout,2019-04-03,Comédie,1h 40min,Eric Lavaine,"Eric Lavaine, Bruno Lavaine","Alexandra Lamy, José Garcia, Michaël Youn",France,Gaumont Distribution,Box Office France,324388,"3,0","3,0",666998.0,0
899,vivarium,2020-03-11,"Thriller, Science fiction",1h 38min,Lorcan Finnegan,Garret Shanley,"Jesse Eisenberg, Imogen Poots, Jonathan Aris",Irlande,The Jokers / Les Bookmakers,Box Office France,15510,"3,6","2,6",284744.0,3947600
900,venom: let there be carnage,2021-10-20,"Action, Fantastique",1h 38min,Andy Serkis,Kelly Marcel,"Tom Hardy, Woody Harrelson, Michelle Williams",U.S.A.,Sony Pictures Releasing France,Box Office France,676090,"1,7","2,1",265806.0,110000000
902,24 hours to live,2018-01-17,"Action, Thriller",1h 37min,Brian Smrz,"Zach Dean, Jim McClain","Ethan Hawke, Paul Anderson, Rutger Hauer",U.S.A.,SND,Box Office France,95319,"1,5","2,1",524675.0,0
903,the karate kid,2010-08-18,"Arts Martiaux, Action, Drame, Famille",2h 20min,Harald Zwart,Christopher Murphey,"Jaden Smith, Jackie Chan, Taraji P. Henson",U.S.A.,Sony Pictures Releasing France,Box Office France,537271,"3,1","3,4",1665474.0,40000000
904,furious 7,2015-04-01,Action,2h 17min,James Wan,Chris Morgan,"Vin Diesel, Paul Walker, Jason Statham",U.S.A.,Universal Pictures International France,Box Office France,2158508,"3,6","3,7",823388.0,190000000
905,avec amour et acharnement,2022-08-31,"Drame, Romance",1h 56min,Claire Denis,"Claire Denis, Christine Angot","Juliette Binoche, Vincent Lindon, Grégoire Colin",France,Ad Vitam,Box Office France,73581,"3,1","1,9",93181.0,0
906, the mauritanian,2021-07-14,"Biopic, Drame, Thriller",2h 10min,Kevin Macdonald,"Rory Haines, Sohrab Noshirvani","Tahar Rahim, Jodie Foster, Shailene Woodley",Grande-Bretagne,Metropolitan FilmExport,Box Office France,148446,"3,8","4,2",128813.0,0
907,the card counter,2021-12-29,"Thriller, Drame",1h 52min,Paul Schrader,Paul Schrader,"Oscar Isaac, Tiffany Haddish, Tye Sheridan",U.S.A.,Condor Distribution,Box Office France,29051,"4,2","3,5",176319.0,0
908,2012,2009-11-11,Science fiction,2h 38min,Roland Emmerich,"Roland Emmerich, Harald Kloser","John Cusack, Chiwetel Ejiofor, Amanda Peet",U.S.A.,Sony Pictures Releasing France,Box Office France,2212370,"3,5","2,6",2022418.0,200000000
909,rodéo,2022-09-07,Drame,1h 46min,Lola Quivoron,"Lola Quivoron, Antonia Buresi","Julie Ledru, Yanis Lafki, Antonia Buresi",France,Les Films du Losange,Box Office France,22033,"3,6","1,8",101748.0,1200000
910,les bronzés 3 amis pour la vie,2006-02-01,Comédie,1h 37min,Patrice Leconte,"Michel Blanc, Marie-Anne Chazel","Thierry Lhermitte, Gérard Jugnot, Josiane Balasko",France,Warner Bros. France,Box Office France,3906694,"2,7","1,4",957680.0,35
911,harry potter and the chamber of secrets,2002-12-04,Fantastique,2h 30min,Chris Columbus,Steve Kloves,"Daniel Radcliffe, Rupert Grint, Emma Watson",U.S.A.,Warner Bros. France,Box Office France,2728766,"3,8","3,9",2067906.0,100000000
912,mulholland drive,2001-11-21,"Fantastique, Thriller, Drame",2h 26min,David Lynch,David Lynch,"Naomi Watts, Jeanne Bates, Dan Birnbaum",U.S.A.,Tamasa Distribution,Box Office France,185438,"4,7","3,9",208663.0,15000000
913,the accountant,2016-11-01,"Action, Thriller, Drame",2h 10min,Gavin O'Connor,Bill Dubuque,"Ben Affleck, Anna Kendrick, J.K. Simmons",U.S.A.,Warner Bros. France,Box Office France,180488,"3,0","3,9",1018593.0,44000000
914,suprêmes,2021-11-24,"Biopic, Musical",1h 52min,Audrey Estrougo,"Audrey Estrougo, Marcia Romano","Théo Christine, Sandor Funtek, Félix Lefebvre",France,Sony Pictures Releasing France,Box Office France,77095,"3,4","3,4",94750.0,0
916,love and other drugs,2010-12-29,"Romance, Comédie",1h 52min,Edward Zwick,"Charles Randolph, Edward Zwick","Jake Gyllenhaal, Anne Hathaway, Oliver Platt",U.S.A.,Twentieth Century Fox France,Box Office France,277687,"2,2","3,1",2163745.0,30000000
917,case départ,2011-07-06,Comédie,1h 34min,Thomas Ngijol,"Fabrice Eboué, Lionel Steketee, Thomas Ngijol, Fabrice Eboué","Fabrice Eboué, Thomas Ngijol, Stéfi Celma",France,Mars Films,Box Office France,571106,"3,0","2,9",5488439.0,0
918,what happened to monday?,2017-08-30,"Science fiction, Thriller",2h 04min,Tommy Wirkola,"Max Botkin, Kerry Williamson","Noomi Rapace, Glenn Close, Willem Dafoe",U.S.A.,SND,Box Office France,573072,"3,0","3,8",1614248.0,20000000
919,super 8,2011-08-03,Science fiction,1h 50min,J.J. Abrams,J.J. Abrams,"Kyle Chandler, Joel Courtney, Elle Fanning",U.S.A.,Paramount Pictures France,Box Office France,734715,"3,8","3,7",3975534.0,50000000
920,les pires,2022-12-07,Comédie dramatique,1h 39min,Lise Akoka,"Romane Gueret, Lise Akoka, Romane Gueret","Mallory Wanecque, Timéo Mahaut, Johan Heldenbergh",France,Pyramide Distribution,Box Office France,18915,"3,9","3,8",115967.0,2600000
921,terminator: dark fate,2019-10-23,"Action, Science fiction",2h 09min,Tim Miller,"David S. Goyer, Justin Rhodes","Arnold Schwarzenegger, Linda Hamilton, Mackenzie Davis",U.S.A.,Twentieth Century Fox France,Box Office France,449453,"3,0","2,6",459593.0,185000000
922,percy jackson and the lightning thief,2010-02-10,"Fantastique, Aventure",2h 02min,Chris Columbus,"Craig Titley, Chris Columbus","Logan Lerman, Brandon T. Jackson, Pierce Brosnan",U.S.A.,Twentieth Century Fox France,Box Office France,479413,"2,5","2,6",2272407.0,95000000
923,the amazing maurice,2023-02-01,"Animation, Fantastique, Aventure, Famille",1h 33min,Toby Genkel,"Florian Westermann, Terry Rossio","Hugh Laurie, Emilia Clarke, Himesh Patel",Grande-Bretagne,KMBO,Box Office France,56867,"3,5","2,9",143129.0,17000000
925,venom,2018-10-10,"Science fiction, Action",1h 52min,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg","Tom Hardy, Michelle Williams, Riz Ahmed",U.S.A.,Sony Pictures Releasing France,Box Office France,941871,"1,8","3,1",1370954.0,116000000
927,nocturnal animals,2017-01-04,"Drame, Thriller",1h 57min,Tom Ford,Tom Ford,"Amy Adams, Jake Gyllenhaal, Michael Shannon",U.S.A.,Universal Pictures International France,Box Office France,124137,"2,9","3,8",364025.0,22500000
928,it chapter two,2019-09-11,Epouvante-horreur,2h 50min,Andy Muschietti,Gary Dauberman,"Bill Skarsgård, James McAvoy, Jessica Chastain",U.S.A.,Warner Bros. France,Box Office France,635024,"2,8","3,0",278217.0,79000000
929,madeleine collins,2021-12-22,Drame,1h 47min,Antoine Barraud,Antoine Barraud,"Virginie Efira, Bruno Salomone, Quim Gutiérrez",France,Paname Distribution / UFO,Box Office France,68324,"3,7","3,3",193225.0,0
930,avengers: infinity war,2018-04-25,"Aventure, Action, Science fiction",2h 36min,Joe Russo,"Anthony Russo, Christopher Markus, Stephen McFeely","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",U.S.A.,The Walt Disney Company France,Box Office France,2565953,"3,4","4,3",919160.0,300000000
931,edmond,2019-01-09,"Comédie, Historique",1h 53min,Alexis Michalik,Alexis Michalik,"Thomas Solivérès, Olivier Gourmet, Mathilde Seigner",France,Gaumont Distribution,Box Office France,247500,"3,6","4,3",452836.0,10000000
932,legend,2016-01-20,"Policier, Biopic",2h 11min,Brian Helgeland,Brian Helgeland,"Tom Hardy, Emily Browning, Paul Anderson",Grande-Bretagne,StudioCanal,Box Office France,110406,"3,0","3,7",872365.0,25000000
933,pirates of the caribbean: dead man's chest,2006-08-02,"Aventure, Action, Fantastique",2h 31min,Gore Verbinski,"Ted Elliott, Terry Rossio","Johnny Depp, Orlando Bloom, Keira Knightley",U.S.A.,Buena Vista International,Box Office France,2708112,"3,5","3,9",1459110.0,200000000
934,saint omer,2022-11-23,"Drame, Judiciaire",2h 03min,Alice Diop,"Alice Diop, Amrita David","Kayije Kagame, Guslagie Malanda, Valérie Dréville",France,Les Films du Losange,Box Office France,39560,"4,2","2,8",35831.0,0
935,us,2019-03-20,"Thriller, Epouvante-horreur",1h 56min,Jordan Peele,Jordan Peele,"Lupita Nyong'o, Winston Duke, Elisabeth Moss",U.S.A.,Universal Pictures International France,Box Office France,285741,"3,3","3,1",646814.0,20000000
936,ryu to sobakasu no hime,2021-12-29,"Animation, Aventure, Drame",2h 02min,Mamoru Hosoda,Mamoru Hosoda,"Louane Emera, Kaho Nakamura, Antonin Icovic",Japon,Wild Bunch Distribution,Box Office France,54238,"3,8","3,8",109661.0,0
937,best birthday ever,2022-06-08,"Animation, Famille, Aventure",1h 15min,Michael Ekbladh,Aje Brücken,"Fanny Roy, Jennifer Saunders, David Macaluso",Allemagne,Gebeka Films,Box Office France,9205,"2,4",--,8836.0,0
938,the martian,2015-10-21,Science fiction,2h 24min,Ridley Scott,Drew Goddard,"Matt Damon, Jessica Chastain, Kristen Wiig",U.S.A.,Twentieth Century Fox France,Box Office France,1101028,"3,5","4,0",741481.0,108000000
939,wolfwalkers,2021-10-20,"Animation, Aventure, Famille, Fantastique",1h 43min,Tomm Moore,"Ross Stewart, Will Collins","Lévanah Solomon, Honor Kneafsey, Lana Ropion",Irlande,Haut et Court,Box Office France,42627,"4,2","4,3",138499.0,12000000
941,snowden,2016-11-01,"Thriller, Biopic",2h 15min,Oliver Stone,"Oliver Stone, Kieran Fitzgerald","Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo",U.S.A.,Pathé,Box Office France,48634,"3,3","4,0",795332.0,40000000
942,eat pray love,2010-09-22,Drame,2h 20min,Ryan Murphy,"Jennifer Salt, Ryan Murphy","Julia Roberts, Richard Jenkins, Javier Bardem",U.S.A.,Sony Pictures Releasing France,Box Office France,288645,"1,7","2,5",710876.0,60000000
943,escape room,2019-02-27,Thriller,1h 39min,Adam Robitel,"Bragi Schut, Maria Melnik","Taylor Russell, Logan Miller, Deborah Ann Woll",U.S.A.,Sony Pictures Releasing France,Box Office France,300315,"2,5","3,2",409616.0,9000000
944,wonder,2017-12-20,"Drame, Famille",1h 51min,Stephen Chbosky,"Steve Conrad, Jack Thorne","Julia Roberts, Jacob Tremblay, Owen Wilson",U.S.A.,Metropolitan FilmExport,Box Office France,82140,"3,0","4,2",621847.0,20000000
945,les chatouilles,2018-11-14,Drame,1h 43min,Andréa Bescond,"Eric Métayer, Andréa Bescond, Eric Métayer","Andréa Bescond, Karin Viard, Clovis Cornillac",France,Orange Studio Distribution / UGC Distribution,Box Office France,123605,"3,8","4,1",647118.0,0
947,kaze tachinu,2014-01-22,"Animation, Drame, Historique, Biopic",2h 07min,Hayao Miyazaki,Hayao Miyazaki,"Steve Albert, Hideaki Anno, Miori Takimoto",Japon,The Walt Disney Company France,Box Office France,258144,"4,2","4,1",919625.0,0
948,greenland,2020-08-05,"Thriller, Action, Drame",2h 00min,Ric Roman Waugh,Chris Sparling,"Gerard Butler, Morena Baccarin, David Denman",U.S.A.,Metropolitan FilmExport,Box Office France,193402,"2,9","3,1",248835.0,34000000
949,à plein temps,2022-03-16,Drame,1h 25min,Eric Gravel,Eric Gravel,"Laure Calamy, Anne Suarez, Geneviève Mnich",France,Haut et Court,Box Office France,100254,"4,0","4,0",212962.0,3000000
950,les jeunes amants,2022-02-02,Romance,1h 54min,Carine Tardieu,"Carine Tardieu, Agnès De Sacy","Fanny Ardant, Melvil Poupaud, Cécile de France",France,Diaphana Distribution,Box Office France,152312,"3,6","3,9",179713.0,5800000
951,captain marvel,2019-03-06,"Action, Fantastique, Science fiction",2h 04min,Anna Boden,"Ryan Fleck, Anna Boden, Ryan Fleck","Brie Larson, Samuel L. Jackson, Jude Law",U.S.A.,The Walt Disney Company France,Box Office France,1254628,"3,2","3,5",538954.0,152000000
952,ashkal,2023-01-25,"Thriller, Drame, Policier",1h 32min,Youssef Chebbi,"Youssef Chebbi, François-Michel Allegrini","Fatma Oussaifi, Mohamed Houcine Grayaa, Rami Harrabi",Tunisie,Jour2fête,Box Office France,12336,"3,7","3,1",59362.0,0
953,a beautiful mind,2002-02-13,Drame,2h 14min,Ron Howard,Akiva Goldsman,"Russell Crowe, Ed Harris, Jennifer Connelly",U.S.A.,United International Pictures (UIP),Box Office France,215506,"2,8","4,0",180168.0,58000000
954,les tuche 4,2021-12-08,Comédie,1h 41min,Olivier Baroux,"Olivier Baroux, Philippe Mechelen","Jean-Paul Rouve, Isabelle Nanty, Michel Blanc",France,Pathé,Box Office France,852098,"3,0","1,8",273483.0,0
955,un petit frère,2023-02-01,Drame,1h 56min,Léonor Serraille,Léonor Serraille,"Annabelle Lengronne, Stéphane Bak, Kenzo Sambin",France,Diaphana Distribution,Box Office France,18993,"3,5","3,5",16057.0,3900000
956,l'immensità,2023-01-11,Drame,1h 39min,Emanuele Crialese,"Emanuele Crialese, Francesca Manieri","Penélope Cruz, Vincenzo Amato, Luana Giuliani",Italie,Pathé,Box Office France,91906,"3,2","3,3",38209.0,0
957,the visit,2015-10-07,Epouvante-horreur,1h 34min,M. Night Shyamalan,M. Night Shyamalan,"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan",U.S.A.,Universal Pictures International France,Box Office France,147220,"3,4","3,1",469381.0,5000000
958,antigang,2015-08-19,"Action, Policier",1h 33min,Benjamin Rocher,"François Loubeyre, Tristan Schulmann","Jean Reno, Caterina Murino, Alban Lenoir",France,SND,Box Office France,193422,"2,3","2,9",1388174.0,0
959,star wars: the rise of skywalker,2019-12-18,"Science fiction, Aventure",2h 22min,J.J. Abrams,"Chris Terrio, J.J. Abrams","Daisy Ridley, Adam Driver, Oscar Isaac",U.S.A.,The Walt Disney Company France,Box Office France,2420710,"3,1","3,0",599650.0,250000000
960,trois nuits par semaine,2022-11-09,"Comédie, Romance",1h 43min,Florent Gouëlou,Florent Gouëlou,"Pablo Pauly, Romain Eck, Hafsia Herzi",France,Pyramide Distribution,Box Office France,15360,"3,1","3,7",123557.0,2300000
961,detachment,2012-02-01,Drame,1h 37min,Tony Kaye,Carl Lund,"Adrien Brody, Marcia Gay Harden, James Caan",U.S.A.,Pretty Pictures,Box Office France,58554,"2,8","4,0",753666.0,0
962,the hours,2003-03-19,"Drame, Romance",1h 54min,Stephen Daldry,David Hare,"Nicole Kidman, Julianne Moore, Meryl Streep",U.S.A.,TFM Distribution,Box Office France,190274,"3,6","3,7",68381.0,25000000
963,deadpool,2016-02-10,"Comédie, Action",1h 48min,Tim Miller,"Rhett Reese, Paul Wernick","Ryan Reynolds, Morena Baccarin, Ed Skrein",U.S.A.,Twentieth Century Fox France,Box Office France,1575661,"3,1","4,0",1355934.0,58000000
964,astérix aux jeux olympiques,2008-01-30,"Aventure, Comédie, Action",1h 53min,Thomas Langmann,"Frédéric Forestier, Olivier Dazat, Thomas Langmann","Clovis Cornillac, Gérard Depardieu, Alain Delon",France,Pathé,Box Office France,3007811,"1,9","1,4",3629637.0,97250400
965,the secret life of walter mitty,2014-01-01,"Aventure, Comédie dramatique",1h 54min,Ben Stiller,Steve Conrad,"Ben Stiller, Kristen Wiig, Shirley MacLaine",U.S.A.,Twentieth Century Fox France,Box Office France,427049,"3,2","3,9",939293.0,90000000
966,de l'autre côté du lit,2009-01-07,Comédie,1h 33min,Pascale Pouzadoux,"Pascale Pouzadoux, Grégoire Vigneron","Sophie Marceau, Dany Boon, Roland Giraud",France,Mars Films,Box Office France,517597,"2,4","2,1",927680.0,0
967,the butterfly effect,2004-03-10,"Drame, Fantastique",1h 53min,Eric Bress,"J. Mackye Gruber, Eric Bress, J. Mackye Gruber","Ashton Kutcher, Amy Smart, Elden Henson",U.S.A.,Metropolitan FilmExport,Box Office France,238772,"3,5","4,1",336378.0,13000000
968,rush,2013-09-25,"Drame, Biopic",2h 03min,Ron Howard,Peter Morgan,"Chris Hemsworth, Daniel Brühl, Olivia Wilde",U.S.A.,Pathé,Box Office France,149696,"4,1","4,3",531165.0,38000000
969,fast & furious presents: hobbs & shaw,2019-08-07,Action,2h 16min,David Leitch,"Chris Morgan, Drew Pearce","Dwayne Johnson, Jason Statham, Idris Elba",U.S.A.,Universal Pictures International France,Box Office France,1131141,"2,8","2,8",414895.0,340000000
970,the shape of water,2018-02-21,"Fantastique, Drame, Romance",2h 03min,Guillermo del Toro,"Guillermo del Toro, Vanessa Taylor","Sally Hawkins, Michael Shannon, Richard Jenkins",U.S.A.,Twentieth Century Fox France,Box Office France,334932,"4,1","3,8",1359195.0,19500000
971,spider-man: far from home,2019-07-03,"Action, Aventure",2h 10min,Jon Watts,"Chris McKenna, Erik Sommers","Tom Holland, Jake Gyllenhaal,  Zendaya",U.S.A.,Sony Pictures Releasing France,Box Office France,630649,"3,2","3,8",716805.0,160000000
972,grindhouse: death proof,2007-06-06,"Drame, Comédie, Thriller",1h 50min,Quentin Tarantino,Quentin Tarantino,"Kurt Russell, Rosario Dawson, Zoë Bell",U.S.A.,TFM Distribution,Box Office France,224340,"3,4","3,6",505676.0,67000000
973,kingdom of heaven,2005-05-04,"Historique, Action",2h 25min,Ridley Scott,William Monahan,"Michael FitzGerald, Orlando Bloom, Liam Neeson",U.S.A.,Pathé,Box Office France,586771,"3,2","3,5",77535.0,130000000
974,gibraltar,2013-09-11,"Thriller, Policier",1h 50min,Michelle Côté,"Julien Leclercq, Abdel Raouf Dafri","Gilles Lellouche, Tahar Rahim, Riccardo Scamarcio",France,SND,Box Office France,157787,"2,8","3,1",717583.0,0
975,jojo rabbit,2020-01-29,"Guerre, Drame, Comédie",1h 48min,Taika Waititi,Taika Waititi,"Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson",U.S.A.,Twentieth Century Fox France,Box Office France,132054,"3,1","3,9",457715.0,14000000
976,tellement proches,2009-06-17,Comédie,1h 42min,Eric Toledano,"Olivier Nakache, Olivier Nakache, Eric Toledano","Vincent Elbaz, Isabelle Carré, François-Xavier Demaison",France,Mars Films,Box Office France,292387,"3,3","3,5",783068.0,0
977,jurassic world,2015-06-10,"Aventure, Action, Science fiction",2h 05min,Colin Trevorrow,"Rick Jaffa, Amanda Silver","Chris Pratt, Bryce Dallas Howard, Nick Robinson",U.S.A.,Universal Pictures International France,Box Office France,2087959,"2,9","3,5",893984.0,150000000
978,tais-toi !,2003-10-22,Comédie,1h 25min,Francis Veber,Francis Veber,"Jean Reno, Gérard Depardieu, André Dussollier",France,UFD,Box Office France,900106,"2,8","2,8",128562.0,27440000
979,the theory of everything,2015-01-21,"Biopic, Drame",2h 03min,James Marsh,Anthony McCarten,"Eddie Redmayne, Felicity Jones, Tom Prior",Grande-Bretagne,Universal Pictures International France,Box Office France,97907,"3,3","4,2",556108.0,15000000
980,what's love got to do with it?,2023-03-08,"Comédie, Romance",1h 49min,Shekhar Kapur,Jemima Khan,"Lily James, Shazad Latif, Shabana Azmi",Grande-Bretagne,StudioCanal,Box Office France,30113,"3,2","3,2",124125.0,0
981,pamfir,2022-11-02,Drame,1h 42min,Dmytro Sukholytkyy-Sobchuk,Dmytro Sukholytkyy-Sobchuk,"Oleksandr Yatsentyuk, Stanislav Potiak, Solomiya Kyrylova",Ukraine,Condor Distribution,Box Office France,17829,"3,8","3,9",117222.0,0
982,skyfall,2012-10-26,"Action, Espionnage, Thriller",2h 23min,Sam Mendes,"Neal Purvis, Robert Wade","Daniel Craig, Judi Dench, Javier Bardem",Grande-Bretagne,Sony Pictures Releasing France,Box Office France,1839220,"4,0","4,2",13541875.0,200000000
983,a knight's tale,2001-11-14,"Action, Aventure",2h 12min,Brian Helgeland,Brian Helgeland,"Heath Ledger, Mark Addy, Rufus Sewell",U.S.A.,Columbia TriStar Films,Box Office France,194347,"3,2","3,3",68779.0,65000000
984,bones and all,2022-11-23,"Drame, Epouvante-horreur, Romance",2h 10min,Luca Guadagnino,David Kajganich,"Timothée Chalamet, Taylor Russell, Mark Rylance",Italie,Warner Bros. France,Box Office France,38761,"3,2","3,3",44915.0,18000000
985,cloud atlas,2013-03-13,"Drame, Science fiction, Thriller",2h 45min,Lana Wachowski,"Tom Tykwer, Lilly Wachowski, Lana Wachowski, Tom Tykwer","Tom Hanks, Halle Berry, Jim Broadbent",Allemagne,Warner Bros. France,Box Office France,202952,"3,4","3,9",1273011.0,102000000
986,eo,2022-10-19,Drame,1h 29min,Jerzy Skolimowski,"Ewa Piaskowska, Jerzy Skolimowski","Sandra Drzymalska, Tomasz Organek, Mateusz Kosciukiewicz",Pologne,ARP Sélection,Box Office France,47210,"4,2","3,5",167146.0,0
987,saw,2005-03-16,"Epouvante-horreur, Thriller",1h 44min,James Wan,"James Wan, Leigh Whannell","Leigh Whannell, Cary Elwes, Danny Glover",U.S.A.,Metropolitan FilmExport,Box Office France,215717,"3,5","3,6",146168.0,1200000
988,les intranquilles,2021-09-29,Drame,1h 54min,Joachim Lafosse,"Joachim Lafosse, Anne-Lise Morin","Leïla Bekhti, Damien Bonnard, Gabriel Merz Chammah",Belgique,Les Films du Losange,Box Office France,53677,"3,9","3,5",204935.0,0
989,tout nous sépare,2017-11-08,"Drame, Thriller",1h 38min,Thierry Klifa,"Thierry Klifa, Cédric Anger","Catherine Deneuve, Diane Kruger,  Nekfeu",France,Mars Films,Box Office France,101574,"2,8","2,6",309299.0,0
990,downton abbey: a new era,2022-04-27,"Drame, Historique",2h 06min,Simon Curtis,Julian Fellowes,"Hugh Bonneville, Michelle Dockery, Elizabeth McGovern",Grande-Bretagne,Universal Pictures International France,Box Office France,181353,"3,3","3,8",154329.0,40000000
991,dare mo shiranai,2004-11-10,Drame,2h 21min,Hirokazu Kore-eda,Hirokazu Kore-eda,"Yûya Yagira, Ayu Kitaura, Hiei Kimura",Japon,ARP Sélection,Box Office France,45361,"4,3","4,0",54929.0,0
992,glass,2019-01-16,"Thriller, Fantastique",2h 10min,M. Night Shyamalan,M. Night Shyamalan,"James McAvoy, Bruce Willis, Anya Taylor-Joy",U.S.A.,The Walt Disney Company France,Box Office France,539113,"3,6","3,5",823163.0,20000000
993,volver,2006-05-19,Comédie dramatique,2h 01min,Pedro Almodóvar,Pedro Almodóvar,"Penélope Cruz, Carmen Maura, Lola Dueñas",Espagne,Pathé,Box Office France,340937,"4,6","3,9",303808.0,12899867
