,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris
22,the lost city of z,2017-03-15,Aventure,2h 21min,James Gray,James Gray,"Charlie Hunnam, Sienna Miller, Tom Holland",U.S.A.,StudioCanal,Box Office France,150 045,"4,5","3,9",661463,30000000.0,11.86,11.86,11.65,13.44,11.37
23,dungeons & dragons: honor among thieves,2023-04-12,"Fantastique, Aventure",2h 14min,Jonathan Goldstein (XII),"John Francis Daley, Jonathan Goldstein (XII), John Francis Daley","Chris Pine, Michelle Rodriguez, Regé-Jean Page",U.S.A.,Paramount Pictures France,Box Office France,420 168,"3,3","3,8",98181,151000000.0,11.13,8.03,12.42,10.19,9.99
24,the batman,2022-03-02,"Action, Policier, Thriller",2h 57min,Matt Reeves,"Matt Reeves, Peter Craig","Robert Pattinson, Zoë Kravitz, Paul Dano",U.S.A.,Warner Bros. France,Box Office France,1 165 588,"3,9","4,1",330861,185000000.0,6.92,5.66,8.07,5.99,5.88
25,en los márgenes,2023-07-05,Thriller,1h 43min,Juan Diego Botto,"Juan Diego Botto, Olga Rodríguez","Penélope Cruz, Luis Tosar, Christian Checa",Espagne,Condor Distribution,Box Office France,28 720,"3,6","3,5",211046,0.0,24.36,22.71,22.21,28.09,21.78
26,j'accuse,2019-11-13,"Drame, Historique, Thriller",2h 12min,Roman Polanski,"Robert Harris (II), Roman Polanski","Jean Dujardin, Louis Garrel, Emmanuelle Seigner",France,Gaumont Distribution,Box Office France,501 228,"4,0","3,8",747001,25300000.0,13.07,5.25,6.08,2.99,5.02
27,nezouh,2023-06-21,Drame,1h 43min,Soudade Kaadan,Soudade Kaadan,"Kinda Aloush, Hala Zein, Samir Almasri",Syrie,Pyramide Distribution,Box Office France,3 771,"3,0","3,0",70434,0.0,22.47,22.09,22.19,22.08,21.01
28,la dernière reine,2023-04-19,"Historique, Drame",1h 50min,Damien Ounouri,"Adila Bendimerad, Damien Ounouri, Adila Bendimerad","Adila Bendimerad, Dali Benssalah, Mohamed Tahar Zaoui",Algérie,Jour2fête,Box Office France,21 049,"3,8","4,1",124003,0.0,12.87,9.7,14.52,13.36,10.79
29,as bestas,2022-07-20,"Thriller, Drame",2h 17min,Rodrigo Sorogoyen,"Isabel Peña, Rodrigo Sorogoyen","Marina Foïs, Denis Ménochet, Luis Zahera",Espagne,Le Pacte,Box Office France,74 066,"4,2","4,1",266065,0.0,23.68,20.56,22.88,25.23,20.75
30,un homme heureux,2023-02-15,Comédie,1h 29min,Tristan Séguéla,"Guy Laurent, Isabelle Lazard","Fabrice Luchini, Catherine Frot, Philippe Katerine",France,Gaumont Distribution,Box Office France,233 008,"3,1","2,9",87100,0.0,8.3,7.73,9.41,8.59,8.79
32,le bleu du caftan,2023-03-22,"Drame, Romance",2h 02min,Maryam Touzani,Maryam Touzani,"Lubna Azabal, Saleh Bakri, Ayoub Missioui",France,Ad Vitam,Box Office France,54 381,"3,8","4,3",141361,0.0,11.13,8.32,12.74,11.92,10.68
33,everything everywhere all at once,2022-08-31,"Action, Comédie, Drame, Science fiction, Arts Martiaux",2h 19min,Daniel Scheinert,"Daniel Kwan, Daniel Scheinert, Daniel Kwan","Michelle Yeoh, Ke Huy Quan, Jamie Lee Curtis",U.S.A.,Pathé Live,Box Office France,132 121,"3,9","3,5",310236,25000000.0,24.21,19.06,21.64,23.97,21.39
34,la nuit du verre d’eau,2023-06-14,"Drame, Romance",1h 23min,Carlos Chahine,Carlos Chahine,"Marilyne Naaman, Antoine Merheb Harb, Nathalie Baye",France,JHR Films / Jour2Fête,Box Office France,12 657,"2,6","3,6",119155,1200000.0,22.19,23.34,21.09,22.09,20.44
35,bullet train,2022-08-03,"Action, Thriller",2h 07min,David Leitch,Zak Olkewicz,"Brad Pitt, Joey King, Aaron Taylor-Johnson",U.S.A.,Sony Pictures Releasing France,Box Office France,491 067,"3,2","3,9",358989,90000000.0,25.91,20.83,27.03,27.04,23.63
36,mission: impossible - ghost protocol,2011-12-14,"Action, Espionnage, Thriller",2h 13min,Brad Bird,"Josh Appelbaum, André Nemec","Tom Cruise, Jeremy Renner, Simon Pegg",U.S.A.,Paramount Pictures France,Box Office France,827 046,"3,9","3,8",3059303,145000000.0,14.42,4.47,8.29,4.36,4.97
37,derb,2023-05-24,Drame,1h 30min,Hadi Mohaghegh,Hadi Mohaghegh,"Hadi Mohaghegh, Mohammad Eghbali",Iran,Bodega Films,Box Office France,8 528,"4,0","3,6",9886,0.0,18.3,14.93,21.01,18.26,16.28
39,see how they run,2022-09-14,"Comédie, Policier",1h 38min,Tom George,Mark Chappell,"Sam Rockwell, Saoirse Ronan, Adrien Brody",Grande-Bretagne,The Walt Disney Company France,Box Office France,56 893,"2,8","2,9",31911,40000000.0,21.05,14.44,21.08,16.35,16.37
40,coco,2017-11-15,"Animation, Fantastique, Famille",1h 45min,Lee Unkrich,"Adrian Molina, Adrian Molina, Matthew Aldrich","Andrea Santamaria, Anthony Gonzalez (VIII), Benjamin Bratt",U.S.A.,The Walt Disney Company France,Box Office France,948 846,"4,1","4,5",1508194,175000000.0,14.04,7.61,6.2,2.63,7.77
41,wahou !,2023-06-07,Comédie,1h 30min,Bruno Podalydès,Bruno Podalydès,"Karin Viard, Bruno Podalydès, Sabine Azéma",France,UGC Distribution,Box Office France,95 610,"3,5","2,5",164047,0.0,22.29,23.93,21.05,21.23,22.24
42,novembre,2022-10-05,"Thriller, Policier",1h 47min,Cédric Jimenez,"Olivier Demangel, Cédric Jimenez","Jean Dujardin, Anaïs Demoustier, Sandrine Kiberlain",France,StudioCanal,Box Office France,592 681,"3,5","4,1",373770,17700000.0,19.84,13.26,17.92,14.62,13.38
43,vaincre ou mourir,2023-01-25,"Historique, Action",1h 40min,Vincent Mottez,"Paul Mignot, Vincent Mottez","Hugo Becker, Rod Paradot, Gilles Cohen",France,Saje Distribution,Box Office France,83 814,"1,3","3,9",173907,0.0,3.85,4.78,5.29,1.31,3.88
44,une histoire d'amour et de désir,2021-09-01,"Drame, Romance",1h 42min,Leyla Bouzid,Leyla Bouzid,"Sami Outalbali, Zbeida Belhajamor, Diong-Keba Tacu",France,Pyramide Distribution,Box Office France,16 502,"4,0","3,8",102150,0.0,23.82,17.19,22.03,23.9,20.96
45,the unbearable weight of massive talent,2022-04-20,"Action, Comédie",1h 48min,Tom Gormican,"Tom Gormican, Kevin Etten","Nicolas Cage, Pedro Pascal, Alessandra Mastronardi",U.S.A.,Metropolitan FilmExport,Box Office France,57 763,"3,1","3,1",162956,30000000.0,13.17,11.85,12.6,12.55,12.86
46,fifi,2023-06-14,Comédie dramatique,1h 48min,Jeanne Aslan,"Paul Saintillan, Jeanne Aslan, Paul Saintillan","Céleste Brunnquell, Quentin Dolmaire, Ilan Schermann",France,New Story,Box Office France,17 284,"3,6","3,9",131144,0.0,22.19,23.34,21.09,22.09,20.44
47,omar la fraise,2023-05-24,Drame,1h 32min,Elias Belkeddar,"Elias Belkeddar, Jérôme Pierrat","Reda Kateb, Benoît Magimel, Meriem Amiar",France,StudioCanal,Box Office France,140 144,"3,4","2,9",189168,5490000.0,18.3,14.93,21.01,18.26,16.28
48,gone girl,2014-10-08,"Thriller, Policier, Drame",2h 29min,David Fincher,Gillian Flynn,"Ben Affleck, Rosamund Pike, Neil Patrick Harris",U.S.A.,Twentieth Century Fox France,Box Office France,539 178,"4,0","4,3",1181695,61000000.0,20.89,13.82,17.85,15.99,15.78
49,sick of myself,2023-05-31,Comédie dramatique,1h 37min,Kristoffer Borgli,Kristoffer Borgli,"Kristine Kujath Thorp, Eirik Sæther, Fanny Vaager",Norvège,Tandem,Box Office France,14 638,"3,4","3,4",87787,0.0,20.18,16.62,22.32,19.9,20.05
50,spider-man: into the spider-verse,2018-12-12,"Animation, Action, Famille",1h 57min,Bob Persichetti,"Peter Ramsey, Rodney Rothman, Phil Lord, Rodney Rothman","Stéphane Bak, Shameik Moore, Jake Johnson (XVI)",U.S.A.,Sony Pictures Releasing France,Box Office France,218 728,"4,2","4,4",622474,90000000.0,12.77,2.98,8.05,0.62,2.19
51,avatar: the way of water,2022-12-14,"Science fiction, Aventure, Fantastique, Action",3h 12min,James Cameron,"James Cameron, Rick Jaffa","Sam Worthington, Zoe Saldana, Sigourney Weaver",U.S.A.,The Walt Disney Company France,Box Office France,2 739 848,"4,1","4,2",927086,460000000.0,13.07,0.8,8.75,4.75,1.06
52,the pope's exorcist,2023-05-10,"Epouvante-horreur, Biopic, Fantastique",1h 43min,Julius Avery,"Evan Spiliotopoulos, Michael Petroni","Russell Crowe, Daniel Zovatto, Alex Essoe",U.S.A.,Sony Pictures Releasing France,Box Office France,155 555,"2,9","2,8",64244,18000000.0,14.3,12.55,13.83,13.9,12.2
53,love again,2023-06-07,"Comédie, Romance",1h 45min,Jim Strouse,Jim Strouse,"Priyanka Chopra Jonas, Sam Heughan, Céline Dion",U.S.A.,Sony Pictures Releasing France,Box Office France,36 242,"2,4","2,7",27397,9000000.0,22.29,23.93,21.05,21.23,22.24
55,marinette,2023-06-07,Biopic,1h 36min,Virginie Verrier,Virginie Verrier,"Garance Marillier, Emilie Dequenne, Alban Lenoir",France,The Jokers / Les Bookmakers,Box Office France,26 273,"3,0","3,8",104179,5500000.0,22.29,23.93,21.05,21.23,22.24
56,evil dead rise,2023-04-19,"Epouvante-horreur, Fantastique",1h 37min,Lee Cronin,Lee Cronin,"Lily Sullivan, Alyssa Sutherland, Morgan Davies",U.S.A.,Metropolitan FilmExport,Box Office France,235 926,"3,1","2,9",118494,15000000.0,12.87,9.7,14.52,13.36,10.79
57,farang,2023-06-28,Action,1h 39min,Xavier Gens,"Xavier Gens, Magali Rossito","Nassim Lyes, Loryn Nounay, Olivier Gourmet",France,StudioCanal,Box Office France,79 426,"3,4","3,7",223912,4920000.0,21.36,17.9,21.61,20.88,20.43
58,insidious: the red door,2023-07-05,"Epouvante-horreur, Fantastique",1h 48min,Patrick Wilson,Scott Teems,"Patrick Wilson, Rose Byrne, Ty Simpkins",U.S.A.,Sony Pictures Releasing France,Box Office France,306 107,"2,1","2,2",50006,16000000.0,24.36,22.71,22.21,28.09,21.78
59,l'innocent,2022-10-12,Comédie,1h 40min,Louis Garrel,"Louis Garrel, Tanguy Viel","Roschdy Zem, Anouk Grinberg, Noémie Merlant",France,Ad Vitam,Box Office France,192 906,"4,1","3,9",242551,4000000.0,21.78,16.39,18.83,17.76,14.91
61,asteroid city,2023-06-21,Comédie dramatique,1h 46min,Wes Anderson,Wes Anderson,"Jason Schwartzman, Scarlett Johansson, Tom Hanks",U.S.A.,Universal Pictures International France,Box Office France,117 498,"3,3","3,0",148311,25000000.0,22.47,22.09,22.19,22.08,21.01
62,deux moi,2019-09-11,Drame,1h 50min,Cédric Klapisch,"Cédric Klapisch, Santiago Amigorena","Ana Girardot, François Civil, Camille Cottin",France,StudioCanal,Box Office France,238 161,"3,7","3,5",970270,0.0,23.42,16.22,21.81,22.36,19.71
63,insidious,2011-06-15,Epouvante-horreur,1h 42min,James Wan,Leigh Whannell,"Patrick Wilson, Rose Byrne, Ty Simpkins",U.S.A.,Wild Bunch Distribution,Box Office France,193 688,"3,2","3,5",2472418,1500000.0,18.44,16.68,16.44,18.58,16.48
64,get out,2017-05-03,Thriller,1h 44min,Jordan Peele,Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener",U.S.A.,Universal Pictures International France,Box Office France,465 265,"4,0","4,0",1043115,4500000.0,13.13,10.38,14.34,12.69,10.24
66,yo mama,2023-07-05,Comédie,1h 37min,Leïla Sy,"Amadou Mariko, Amadou Mariko","Claudia Tagbo,  Zaho, Sophie-Marie Larrouy",France,Gaumont Distribution,Box Office France,78 717,"2,4","2,8",93944,0.0,24.36,22.71,22.21,28.09,21.78
67,triangle of sadness,2022-09-28,"Drame, Comédie",2h 29min,Ruben Östlund,Ruben Östlund,"Harris Dickinson, Charlbi Dean Kriek, Woody Harrelson",Suède,Bac Films,Box Office France,179 786,"3,2","3,8",498535,15600000.0,18.97,11.02,17.17,15.74,11.94
68,passages,2023-06-28,"Drame, Romance",1h 32min,Ira Sachs,"Ira Sachs, Maurício Zacharias","Franz Rogowski, Ben Whishaw, Adèle Exarchopoulos",France,SBS Distribution,Box Office France,11 227,"2,8","2,7",128459,0.0,21.36,17.9,21.61,20.88,20.43
69,retour chez ma mère,2016-06-01,Comédie,1h 31min,Eric Lavaine,"Eric Lavaine, Héctor Cabello Reyes","Alexandra Lamy, Josiane Balasko, Mathilde Seigner",France,Pathé,Box Office France,643 863,"2,9","3,0",979945,8600000.0,18.27,16.24,20.79,17.71,14.6
70,ouistreham,2022-01-12,Drame,1h 47min,Emmanuel Carrère,"Emmanuel Carrère, Hélène Devynck","Juliette Binoche, Hélène Lambert, Léa Carne",France,Memento Distribution,Box Office France,126 975,"3,5","4,0",228786,0.0,1.36,2.64,1.42,-0.97,1.73
71,pornomelancolía,2023-06-21,Drame,1h 34min,Manuel Abramovich,"Manuel Abramovich, Fernando Krapp","Lalo Santos,  Diablo, Brandon Ley",Argentine,Epicentre Films,Box Office France,3 611,"3,5","2,7",6895,0.0,22.47,22.09,22.19,22.08,21.01
72,dunkirk,2017-07-19,"Guerre, Historique, Drame",1h 47min,Christopher Nolan,Christopher Nolan,"Fionn Whitehead, Mark Rylance, Tom Hardy",U.S.A.,Warner Bros. France,Box Office France,925 204,"4,1","3,9",1283108,150000000.0,21.62,19.0,18.91,22.54,18.64
73,la sirène,2023-06-28,"Animation, Drame",1h 41min,Sepideh Farsi,Javad Djavahery,"Mina Kavani, Hadmidreza Djavdan",France,Bac Films,Box Office France,3 933,"3,5","3,7",85905,0.0,21.36,17.9,21.61,20.88,20.43
74,interstellar,2014-11-05,"Science fiction, Drame",2h 49min,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Matthew McConaughey, Anne Hathaway, Michael Caine",U.S.A.,Warner Bros. France,Box Office France,1 071 360,"3,8","4,5",2357047,165000000.0,15.84,8.29,9.11,7.83,8.96
75,mascarade,2022-11-01,Comédie dramatique,2h 14min,Nicolas Bedos,Nicolas Bedos,"Pierre Niney, Isabelle Adjani, François Cluzet",France,Pathé,Box Office France,295 895,"2,5","3,6",175856,14000000.0,22.96,15.85,19.56,18.61,17.76
76,terrible jungle,2020-07-29,"Aventure, Comédie",1h 31min,Hugo Benamozig,"David Caviglioli, Hugo Benamozig, David Caviglioli","Catherine Deneuve, Vincent Dedienne, Alice Belaïdi",France,Apollo Films,Box Office France,83 427,"3,7","2,0",149962,0.0,24.42,21.63,23.0,23.61,22.88
77,the super mario bros. movie,2023-04-05,"Animation, Famille, Comédie",1h 32min,Aaron Horvath,"Michael Jelenic, Matthew Fogel","Pierre Tessier, Chris Pratt, Jérémie Covillault",U.S.A.,Universal Pictures International France,Box Office France,1 866 914,"3,1","4,1",388285,100000000.0,11.62,9.04,12.94,11.34,10.78
78,l'amour et les forêts,2023-05-24,"Thriller, Drame",1h 45min,Valérie Donzelli,"Valérie Donzelli, Audrey Diwan","Virginie Efira, Melvil Poupaud, Dominique Reymond",France,Diaphana Distribution,Box Office France,220 327,"3,8","3,9",187122,0.0,18.3,14.93,21.01,18.26,16.28
79,ant-man and the wasp: quantumania,2023-02-15,"Action, Aventure, Science fiction",2h 01min,Peyton Reed,Jeff Loveness,"Paul Rudd, Evangeline Lilly, Michael Douglas",U.S.A.,The Walt Disney Company France,Box Office France,735 356,"2,3","2,5",281409,200000000.0,8.3,7.73,9.41,8.59,8.79
80,sage-homme,2023-03-15,Comédie dramatique,1h 40min,Jennifer Devoldere,"Jennifer Devoldere, Cécile Sellam","Karin Viard, Melvin Boomer, Steve Tientcheu",France,Warner Bros. France,Box Office France,279 606,"3,6","4,0",97261,5180000.0,11.33,10.05,12.91,11.87,10.8
81,38°5 quai des orfèvres,2023-06-21,"Comédie, Policier",1h 24min,Benjamin Lehrer,Benjamin Lehrer,"Didier Bourdon, Caroline Anglade, Yann Papin",France,KMBO,Box Office France,45 576,"2,3","1,6",165837,3700000.0,22.47,22.09,22.19,22.08,21.01
82,apaches,2023-03-29,"Drame, Historique, Policier",1h 35min,Romain Quirot,Romain Quirot,"Alice Isaaz, Niels Schneider, Rod Paradot",Belgique,Tandem,Box Office France,33 659,"2,8","2,9",118594,0.0,11.63,9.31,13.95,12.14,9.74
83,fumer fait tousser,2022-11-30,Comédie,1h 20min,Quentin Dupieux,Quentin Dupieux,"Gilles Lellouche, Vincent Lacoste, Anaïs Demoustier",France,Gaumont Distribution,Box Office France,87 446,"3,2","2,7",160072,6009575.0,13.1,3.52,5.51,4.56,3.89
84,spider-man: across the spider-verse,2023-05-31,"Animation, Action, Fantastique, Aventure",2h 21min,Joaquim Dos Santos,"Kemp Powers, Justin Thompson, Phil Lord, Christopher Miller","Stéphane Bak, Shameik Moore, Shirine Boutella",U.S.A.,Sony Pictures Releasing France,Box Office France,550 808,"4,1","4,5",320062,100000000.0,20.18,16.62,22.32,19.9,20.05
85,joy ride,2023-07-05,Comédie,1h 32min,Adele Lim,"Cherry Chevapravatdumrong, Teresa Hsiao","Stephanie Hsu, Ashley Park, Sherry Cola",U.S.A.,Metropolitan FilmExport,Box Office France,9 258,"2,9",--,5034,0.0,24.36,22.71,22.21,28.09,21.78
86,maestro(s),2022-12-07,Drame,1h 27min,Bruno Chiche,"Bruno Chiche, Yaël Langmann","Yvan Attal, Pierre Arditi,  Miou-Miou",France,Apollo Films / Orange Studio,Box Office France,111 837,"3,0","3,1",41027,0.0,10.46,0.38,2.52,0.12,0.3
88,king arthur: legend of the sword,2017-05-17,"Action, Aventure, Fantastique",2h 06min,Guy Ritchie,"Joby Harold, Guy Ritchie","Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law",U.S.A.,Warner Bros. France,Box Office France,362 905,"2,7","3,3",660290,175000000.0,17.19,15.49,17.85,16.09,16.52
89,astérix et obélix : l'empire du milieu,2023-02-01,"Aventure, Comédie",1h 52min,Guillaume Canet,"Guillaume Canet, Julien Hervé","Guillaume Canet, Gilles Lellouche, Marion Cotillard",France,Pathé,Box Office France,1 882 686,"2,4","1,8",413659,72000000.0,5.72,7.46,5.88,4.49,5.76
90,reste un peu,2022-11-16,Comédie,1h 33min,Gad Elmaleh,"Gad Elmaleh, Benjamin Charbit","Gad Elmaleh, Régine Elmaleh, David Elmaleh",France,StudioCanal,Box Office France,152 695,"3,7","3,3",203283,0.0,16.65,8.11,10.12,9.87,9.17
91,moka,2016-08-17,Drame,1h 30min,Frédéric Mermoud,"Frédéric Mermoud, Antonin Martin-Hilbert","Emmanuelle Devos, Nathalie Baye, David Clavel",France,Pyramide Distribution,Box Office France,85 331,"3,2","3,0",312926,0.0,23.15,20.36,20.67,22.1,19.62
92,green book,2019-01-23,"Drame, Biopic",2h 10min,Peter Farrelly,"Nick Vallelonga, Brian Hayes Currie","Viggo Mortensen, Mahershala Ali, Linda Cardellini",U.S.A.,Metropolitan FilmExport,Box Office France,288 777,"4,0","4,5",1391907,23000000.0,3.97,2.54,6.74,2.28,4.27
93,c’est mon homme,2023-04-05,Drame,1h 27min,Guillaume Bureau,Guillaume Bureau,"Leïla Bekhti, Karim Leklou, Louise Bourgoin",France,Bac Films,Box Office France,24 890,"3,1","2,7",129019,0.0,11.62,9.04,12.94,11.34,10.78
94,the gentlemen,2020-02-05,"Policier, Action",1h 53min,Guy Ritchie,Guy Ritchie,"Matthew McConaughey, Hugh Grant, Charlie Hunnam",U.S.A.,SND,Box Office France,238 040,"3,5","4,1",878110,22000000.0,7.78,6.76,9.5,9.12,7.54
95,whitney houston: i wanna dance with somebody,2022-12-21,"Biopic, Musical",2h 26min,Kasi Lemmons,Anthony McCarten,"Naomi Ackie, Stanley Tucci, Tamara Tunie",U.S.A.,Sony Pictures Releasing France,Box Office France,64 834,"2,5","3,5",54633,50000000.0,19.39,9.21,13.53,12.32,10.89
96,the bad guys,2022-04-06,"Animation, Comédie, Aventure, Famille",1h 40min,Pierre Perifel,"Etan Cohen, Hilary Winston","Pierre Niney, Sam Rockwell, Igor Gotesman",U.S.A.,Universal Pictures International France,Box Office France,259 472,"3,6","3,9",186985,80000000.0,11.52,10.81,11.58,11.95,9.28
97,mission: impossible - rogue nation,2015-08-12,"Action, Espionnage",2h 12min,Christopher McQuarrie,Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Simon Pegg",U.S.A.,Paramount Pictures France,Box Office France,1 233 768,"3,7","3,9",851732,150000000.0,22.16,18.3,18.82,21.83,18.87
99,la baleine et l'escargote,2020-10-21,"Animation, Famille",0h 40min,Max Lang,"Daniel Snaddon, Max Lang, Suzanne Lang (II)","Colette Sodoyez, Diana Rigg, Maia Baran",Grande-Bretagne,Les Films du Préau,Box Office France,40 156,"3,8","3,7",117096,0.0,19.7,11.89,15.59,14.3,13.71
100,transformers: rise of the beasts,2023-06-07,"Action, Science fiction",2h 08min,Steven Caple Jr.,"Jon Hoeber, Erich Hoeber","Anthony Ramos, Dominique Fishback, Luna Lauren Velez",U.S.A.,Paramount Pictures France,Box Office France,451 052,"2,8","3,0",162592,195000000.0,22.29,23.93,21.05,21.23,22.24
101,miraculous - le film,2023-07-05,"Animation, Action, Aventure, Comédie musicale",1h 39min,Jeremy Zag,"Jeremy Zag, Bettina López Mendoza","Anouck Hautbois, Benjamin Bollen, Antoine Tomé",France,SND,Box Office France,660 421,"2,7","2,7",183528,86000000.0,24.36,22.71,22.21,28.09,21.78
102,luise,2023-07-05,"Drame, Historique, Romance",1h 39min,Matthias Luthardt,"Sebastian Bleyl, Matthias Luthardt","Luise Aschenbrenner, Christa Théret, Leonard Kunz",France,Pyramide Distribution,Box Office France,1 215,"2,8","2,8",83679,0.0,24.36,22.71,22.21,28.09,21.78
103,alibi.com 2,2023-02-08,Comédie,1h 28min,Philippe Lacheau,"Philippe Lacheau, Pierre Lacheau","Philippe Lacheau, Élodie Fontan, Tarek Boudali",France,StudioCanal,Box Office France,1 017 788,"3,0","3,9",587346,0.0,4.97,6.03,5.37,3.26,4.17
