,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget
949,"don't breathe
",2016-10-05,"Epouvante-horreur, Thriller",1h 28min,Fede Alvarez,"Rodolfo Sayagues, Fede Alvarez","Stephen Lang, Jane Levy, Dylan Minnette",U.S.A.,Sony Pictures Releasing France,Box Office France,124 734,"3,6","3,8",490684,10000000
950,la famille bélier,2014-12-17,Comédie,1h 46min,Eric Lartigau,Stanislas Carré de Malberg,"Louane Emera, Karin Viard, François Damiens",France,Mars Films,Box Office France,972 689,"3,7","3,8",2794864,11000000
951,saint seiya: legend of sanctuary,2015-02-25,"Animation, Aventure, Fantastique",1h 33min,Keichi Sato,Tomohiro Suzuki,"Nobuhiko Okamoto, Kenji Nojima, Kaito Ishikawa",Japon,Wild Bunch Distribution,Box Office France,146 763,"2,4","2,2",937420,23000000
952,ils sont vivants,2022-02-23,"Comédie dramatique, Romance",1h 52min,Jérémie Elkaïm,"Jérémie Elkaïm, Arthur Cahn","Marina Foïs, Seear Kohi, Laetitia Dosch",France,Memento Distribution,Box Office France,24 084,"3,4","3,1",128591,0
953,revolutionary road,2009-01-21,"Drame, Romance",2h 05min,Sam Mendes,Justin Haythe,"Kate Winslet, Leonardo DiCaprio, Michael Shannon",U.S.A.,Paramount Pictures France,Box Office France,409 884,"3,8","3,7",420793,35000000
954,the black phone,2022-06-22,"Epouvante-horreur, Thriller",1h 43min,Scott Derrickson,"Scott Derrickson, C. Robert Cargill","Mason Thames, Madeleine McGraw, Ethan Hawke",U.S.A.,Universal Pictures International France,Box Office France,136 339,"3,2","3,5",135047,17000000
955,underwater,2020-01-08,"Action, Thriller, Science fiction",1h 35min,William Eubank,"Adam Cozad, Brian Duffield","Kristen Stewart, T.J. Miller, Jessica Henwick",U.S.A.,The Walt Disney Company France,Box Office France,169 125,"2,6","2,5",244283,50000000
956,inland empire,2007-02-07,"Thriller, Drame, Fantastique",2h 52min,David Lynch,David Lynch,"Laura Dern, Jeremy Irons, Justin Theroux",France,Potemkine Films,Box Office France,54 263,"3,9","3,0",193607,15000000
957,il était une fois dans l'oued,2005-10-19,Comédie,1h 33min,Djamel Bensalah,"Gilles Laurent, Djamel Bensalah","Julien Courbey, Sid Ahmed Agoumi, David Saracino",France,Gaumont Columbia Tristar Films,Box Office France,277 643,"3,1","2,0",303649,0
958,wrong turn,2003-07-30,"Thriller, Epouvante-horreur, Fantastique",1h 24min,Rob Schmidt,"Adam Cooper, Bill Collage","Desmond Harrington, Eliza Dushku, Emmanuelle Chriqui",U.S.A.,Luminor (CTV),Box Office France,64 797,"3,6","2,9",132227,12600000
959,star wars: episode vii - the force awakens,2015-12-16,"Aventure, Action, Science fiction",2h 15min,J.J. Abrams,"Lawrence Kasdan, J.J. Abrams","Daisy Ridley, John Boyega, Adam Driver",U.S.A.,The Walt Disney Company France,Box Office France,3 801 235,"4,0","3,6",109861,245000000
960,terminator 3 : rise of the machines,2003-08-06,"Science fiction, Action",1h 49min,Jonathan Mostow,"John D. Brancato, Michael Ferris","Arnold Schwarzenegger, Kristanna Loken, Nick Stahl",U.S.A.,Columbia TriStar Films,Box Office France,1 506 449,"3,0","2,8",54176,200000000
961,nos frangins,2022-12-07,"Biopic, Drame",1h 32min,Rachid Bouchareb,"Kaouther Adimi, Rachid Bouchareb","Reda Kateb, Lyna Khoudri, Raphaël Personnaz",France,Le Pacte,Box Office France,37 490,"3,4","3,0",138001,0
962,divines,2016-08-31,Drame,1h 45min,Houda Benyamina,"Houda Benyamina, Romain Compingt","Oulaya Amamra, Kevin Mischel, Jisca Kalvanda",France,Diaphana Distribution,Box Office France,106 156,"3,6","4,1",590645,2791874
963,les vedettes,2022-02-09,Comédie,1h 41min,Jonathan Barré,"Jonathan Barré, Grégoire Ludig","Grégoire Ludig, David Marsais, Julien Pestel",France,Gaumont Distribution,Box Office France,179 006,"3,1","3,4",147496,0
964,edmond,2019-01-09,"Comédie, Historique",1h 53min,Alexis Michalik,Alexis Michalik,"Thomas Solivérès, Olivier Gourmet, Mathilde Seigner",France,Gaumont Distribution,Box Office France,247 500,"3,6","4,3",452935,10000000
965,les 11 commandements,2004-02-04,Comédie,1h 25min,François Desagnat,"Thomas Sorriaux, Laurent Zeitoun, Romain Lévy","Michaël Youn, Vincent Desagnat, Benjamin Morgaine",France,Pathé,Box Office France,961 182,"2,8","1,8",66785,0
966,the mule,2019-01-23,"Drame, Biopic",1h 56min,Clint Eastwood,Nick Schenk,"Clint Eastwood, Bradley Cooper, Laurence Fishburne",U.S.A.,Warner Bros. France,Box Office France,659 999,"4,1","4,0",814238,50000000
968,tre piani,2021-11-10,"Comédie dramatique, Comédie, Drame",2h 00min,Nanni Moretti,"Nanni Moretti, Federica Pontremoli","Margherita Buy, Riccardo Scamarcio, Alba Rohrwacher",Italie,Le Pacte,Box Office France,65 389,"3,2","3,5",131077,0
969,el laberinto del fauno,2006-11-01,"Fantastique, Epouvante-horreur",1h 52min,Guillermo del Toro,Guillermo del Toro,"Ivana Baquero, Sergi López, Doug Jones",Espagne,Wild Bunch Distribution,Box Office France,177 058,"3,9","3,9",884198,19000000
970,precious: based on the novel 'push' by sapphire,2010-03-03,Drame,1h 49min,Lee Daniels,Geoffrey Fletcher,"Gabourey Sidibe,  Mo'Nique, Paula Patton",U.S.A.,ARP Sélection,Box Office France,61 833,"3,4","3,8",477739,10000000
971,portrait de la jeune fille en feu,2019-09-18,"Drame, Historique",2h 02min,Céline Sciamma,Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami",France,Pyramide Distribution,Box Office France,105 099,"4,0","4,0",512198,5740000
972,the lord of the rings: the two towers,2002-12-18,"Fantastique, Aventure",2h 59min,Peter Jackson,"Peter Jackson, Philippa Boyens","Elijah Wood, Sean Astin, Viggo Mortensen",U.S.A.,Warner Bros. France,Box Office France,2 404 825,"4,0","4,5",194909,79000000
973,donne-moi des ailes,2019-10-09,"Aventure, Famille",1h 53min,Nicolas Vanier,"Christian Moullec, Matthieu Petit","Louis Vazquez, Jean-Paul Rouve, Mélanie Doutey",France,SND,Box Office France,311 729,"3,3","4,0",713869,0
974,verdens verste menneske,2021-10-13,"Drame, Comédie",2h 08min,Joachim Trier,"Joachim Trier, Eskil Vogt","Renate Reinsve, Anders Danielsen Lie, Herbert Nordrum",Norvège,Memento Distribution,Box Office France,67 515,"4,2","3,9",172031,5000000
975,première année,2018-09-12,Drame,1h 32min,Thomas Lilti,Thomas Lilti,"Vincent Lacoste, William Lebghil, Michel Lerousseau",France,Le Pacte,Box Office France,341 290,"3,7","3,8",894653,0
976,yesterday,2019-07-03,"Comédie, Comédie musicale",1h 57min,Danny Boyle,Richard Curtis,"Himesh Patel, Lily James, Ed Sheeran",Grande-Bretagne,Universal Pictures International France,Box Office France,129 371,"3,5","3,7",626311,26000000
977,un homme à la hauteur,2016-05-04,"Comédie, Romance",1h 39min,Laurent Tirard,"Laurent Tirard, Grégoire Vigneron","Jean Dujardin, Virginie Efira, Cédric Kahn",France,Gaumont Distribution,Box Office France,278 901,"2,8","3,0",814906,10000000
978,mystère,2021-12-15,"Aventure, Famille",1h 23min,Denis Imbert,"Denis Imbert, Mathieu Oullion","Vincent Elbaz, Shanna Keil, Marie Gillain",France,Gaumont Distribution,Box Office France,158 396,"3,0","3,5",179265,6500000
979,il traditore,2019-10-30,"Biopic, Drame",2h 33min,Marco Bellocchio,"Marco Bellocchio, Valia Santella","Pierfrancesco Favino, Maria Fernanda Cândido, Fabrizio Ferracane",Italie,Ad Vitam,Box Office France,130 197,"4,3","4,1",412759,0
980, the life aquatic with steve zissou,2005-03-09,"Aventure, Comédie",1h 58min,Wes Anderson,"Wes Anderson, Noah Baumbach","Bill Murray, Owen Wilson, Cate Blanchett",U.S.A.,Buena Vista International,Box Office France,120 257,"3,8","3,3",256698,50000000
981,un petit frère,2023-02-01,Drame,1h 56min,Léonor Serraille,Léonor Serraille,"Annabelle Lengronne, Stéphane Bak, Kenzo Sambin",France,Diaphana Distribution,Box Office France,18 993,"3,5","3,5",16147,3900000
982,la sorcière et le martien,2023-06-21,"Famille, Aventure, Science fiction",,Thomas Bardinet,Thomas Bardinet,"Yasmine Kherbouche, Kylian Mahamoud, Théodore Dupleix",France,DHR distribution / A Vif Cinemas,Box Office France,45,"2,7","1,9",2510,0
983,tomb raider,2018-03-14,"Aventure, Action",1h 58min,Roar Uthaug,"Geneva Robertson-Dworet, Alastair Siddons","Alicia Vikander, Dominic West, Walton Goggins",U.S.A.,Warner Bros. France,Box Office France,667 523,"2,6","3,2",612308,94000000
984,john wick: chapter two,2017-02-22,Action,2h 03min,Chad Stahelski,Derek Kolstad,"Keanu Reeves, Riccardo Scamarcio, Ian McShane",U.S.A.,Metropolitan FilmExport,Box Office France,201 953,"3,1","3,8",500624,40000000
985,le monde est à toi,2018-08-15,"Action, Comédie",1h 41min,Romain Gavras,"Romain Gavras, Karim Boukercha","Karim Leklou, Isabelle Adjani, Vincent Cassel",France,StudioCanal,Box Office France,155 104,"3,6","3,5",493002,0
986,bombshell,2020-01-22,"Biopic, Drame",1h 50min,Jay Roach,Charles Randolph,"Charlize Theron, Nicole Kidman, Margot Robbie",U.S.A.,Metropolitan FilmExport,Box Office France,205 082,"3,5","3,5",266035,32000000
987,nomadland,2021-06-09,Drame,1h 48min,Chloé Zhao,Chloé Zhao,"Frances McDormand, David Strathairn, Gay DeForest",U.S.A.,The Walt Disney Company France,Box Office France,125 027,"4,1","3,9",151228,5000000
988,neugdaesanyang,2023-02-15,"Epouvante-horreur, Action",2h 01min,Hong-seon Kim,Hong-seon Kim,"Seo In-guk, Dong-Yoon Jang, Jung So-min",Corée du Sud,ESC Films,Box Office France,8 055,"2,9","2,7",93161,Erreur lors de la requête API 2.
989,vice,2019-02-13,"Biopic, Drame",2h 14min,Adam McKay,Adam McKay,"Christian Bale, Amy Adams, Steve Carell",U.S.A.,Mars Films,Box Office France,124 104,"3,9","4,0",542168,10000000
990,eo,2022-10-19,Drame,1h 29min,Jerzy Skolimowski,"Ewa Piaskowska, Jerzy Skolimowski","Sandra Drzymalska, Tomasz Organek, Mateusz Kosciukiewicz",Pologne,ARP Sélection,Box Office France,47 210,"4,2","3,5",167207,0
991,a.i. artificial intelligence,2001-10-24,"Science fiction, Aventure, Drame",2h 20min,Steven Spielberg,"Ian Watson, Steven Spielberg","Erik Bauersfeld, Haley Joel Osment, Jude Law",U.S.A.,Warner Bros. France,Box Office France,766 701,"3,4","3,5",260084,100000000
992,monsieur & madame adelman,2017-03-08,"Comédie, Drame, Romance",2h 00min,Doria Tillier,"Nicolas Bedos, Nicolas Bedos","Nicolas Bedos, Doria Tillier, Denis Podalydès",France,Le Pacte,Box Office France,126 787,"3,4","4,0",794396,0
993,batman v superman: dawn of justice,2016-03-23,"Action, Fantastique, Aventure",2h 33min,Zack Snyder,"Chris Terrio, David S. Goyer","Ben Affleck, Henry Cavill, Jesse Eisenberg",U.S.A.,Warner Bros. France,Box Office France,1 251 205,"2,6","3,3",774528,250000000
994,30 jours max,2020-10-14,"Comédie, Policier",1h 27min,Tarek Boudali,"Tarek Boudali, Pierre Dudan (II)","Tarek Boudali, Philippe Lacheau, Julien Arruti",France,StudioCanal,Box Office France,508 815,"2,4","2,2",510271,13000000
995,furious 7,2015-04-01,Action,2h 17min,James Wan,Chris Morgan,"Vin Diesel, Paul Walker, Jason Statham",U.S.A.,Universal Pictures International France,Box Office France,2 158 508,"3,6","3,7",823471,190000000
996,manchester by the sea,2016-12-14,Drame,2h 18min,Kenneth Lonergan,Kenneth Lonergan,"Casey Affleck, Michelle Williams, Kyle Chandler",U.S.A.,Universal Pictures International France,Box Office France,108 185,"4,5","4,2",383472,9000000
997,children of men,2006-10-18,"Science fiction, Thriller, Drame",1h 50min,Alfonso Cuarón,"Timothy J. Sexton, Alfonso Cuarón","Clive Owen, Clare-Hope Ashitey, Julianne Moore",U.S.A.,United International Pictures (UIP),Box Office France,128 672,"3,8","4,0",389970,76000000
998,burnt,2015-11-04,"Comédie, Drame",1h 42min,John Wells,Steven Knight,"Bradley Cooper, Sienna Miller, Daniel Brühl",U.S.A.,SND,Box Office France,217 940,"2,3","2,9",462017,20000000
999,peter pan,2004-02-04,"Fantastique, Aventure",1h 53min,P.J. Hogan,"Michael Goldenberg, P.J. Hogan","Jeremy Sumpter, Jason Isaacs, Ludivine Sagnier",U.S.A.,Columbia TriStar Films,Box Office France,341 151,"3,8","3,4",196501,100000000
1000,halloween ends,2022-10-12,Epouvante-horreur,1h 51min,David Gordon Green,"Chris Bernier, David Gordon Green","Jamie Lee Curtis, Andi Matichak, Rohan Campbell",U.S.A.,Universal Pictures International France,Box Office France,187 689,"2,7","2,0",66000,20000000
1001,la cara oculta,2012-07-04,"Drame, Thriller",1h 36min,Andrés Baiz,"Andrés Baiz, Hatem Khraiche Ruiz-Zorrilla","Quim Gutiérrez, Martina García, Clara Lago",Espagne,Haut et Court,Box Office France,13 450,"3,0","3,8",389596,0
1002,carbone,2017-11-01,Policier,1h 44min,Olivier Marchal,"Emmanuel Naccache, Olivier Marchal","Benoît Magimel,  Gringe, Idir Chender",France,EuropaCorp Distribution,Box Office France,334 791,"3,1","3,6",937052,0
1003,laurence anyways,2012-07-18,Drame,2h 48min,Xavier Dolan,Xavier Dolan,"Melvil Poupaud, Suzanne Clément, Nathalie Baye",Canada,MK2 Diffusion,Box Office France,30 726,"3,5","4,2",563647,9500000
1004,"4 luni, 3 saptamâni si 2 zile",2007-08-29,Drame,1h 53min,Cristian Mungiu,Cristian Mungiu,"Anamaria Marinca, Laura Vasiliu, Vlad Ivanov",Roumanie,Bac Films,Box Office France,105 928,"4,4","3,7",175293,852510
1005,le loup et le lion,2021-10-13,"Aventure, Famille",1h 40min,Gilles de Maistre,Prune de Maistre,"Molly Kunz, Graham Greene (II), Charlie Carrick",France,StudioCanal,Box Office France,199 085,"2,8","3,6",324582,11900000
1006,spectre,2015-11-10,"Action, Espionnage",2h 30min,Sam Mendes,"John Logan, Neal Purvis","Daniel Craig, Christoph Waltz, Léa Seydoux",Grande-Bretagne,Sony Pictures Releasing France,Box Office France,2 203 549,"3,0","3,6",758101,245000000
1007,jeune & jolie,2013-08-21,Drame,1h 34min,François Ozon,François Ozon,"Marine Vacth, Géraldine Pailhas, Frédéric Pierrot",France,Mars Films,Box Office France,279 414,"3,7","3,3",1459580,0
1008,gangs of new york,2003-01-08,"Historique, Action, Drame",2h 50min,Martin Scorsese,"Jay Cocks, Kenneth Lonergan","Leonardo DiCaprio, Daniel Day-Lewis, Liam Neeson",Grande-Bretagne,SND,Box Office France,869 475,"4,4","4,0",101054,100000000
1009,the fate of the furious,2017-04-12,"Action, Thriller",2h 16min,F. Gary Gray,Chris Morgan,"Vin Diesel, Dwayne Johnson, Jason Statham",U.S.A.,Universal Pictures International France,Box Office France,1 861 108,"3,1","3,6",771158,250000000
1010,le bonheur des uns...,2020-09-09,Comédie,1h 40min,Daniel Cohen,"Daniel Cohen, Olivier Dazat","Vincent Cassel, Bérénice Bejo, Florence Foresti",France,SND,Box Office France,95 111,"2,9","2,6",431688,0
1011,a propos de joan,2022-09-14,"Drame, Romance",1h 41min,Laurent Larivière,"Laurent Larivière, François Decodts","Isabelle Huppert, Lars Eidinger, Freya Mavor",France,Haut et Court,Box Office France,10 441,"2,9","2,9",57574,0
1012,un triomphe,2021-09-01,Comédie,1h 47min,Emmanuel Courcol,"Emmanuel Courcol, Thierry de Carbonnières","Kad Merad, David Ayala, Lamine Cissokho",France,Memento Distribution,Box Office France,143 968,"3,8","3,9",208566,0
1013,arthur et les minimoys,2006-11-29,"Animation, Aventure, Fantastique, Famille",1h 34min,Luc Besson,"Luc Besson, Céline Garcia","Freddie Highmore, Mia Farrow, Mylène Farmer",France,EuropaCorp Distribution,Box Office France,1 510 369,"3,3","3,0",1374256,86000000
1015,holy spider,2022-07-13,"Thriller, Policier, Drame",1h 59min,Ali Abbasi,Ali Abbasi,"Mehdi Bajestani, Zar Amir Ebrahimi, Arash Ashtiani",France,Metropolitan FilmExport,Box Office France,30 009,"3,3","3,9",81683,0
1016,the artist,2011-10-12,"Romance, Drame, Comédie",1h 40min,Michel Hazanavicius,Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman",France,Warner Bros. France,Box Office France,443 269,"4,1","4,0",3682037,15000000
1017,annabelle,2014-10-08,Epouvante-horreur,1h 38min,John R. Leonetti,Gary Dauberman,"Annabelle Wallis, Ward Horton, Alfre Woodard",U.S.A.,Warner Bros. France,Box Office France,512 895,"2,1","2,1",979445,6500000
1018,evil dead,2013-05-01,Epouvante-horreur,1h 30min,Fede Alvarez,"Fede Alvarez, Rodolfo Sayagues","Jane Levy, Shiloh Fernandez, Lou Taylor Pucci",U.S.A.,Metropolitan FilmExport,Box Office France,170 913,"3,1","3,3",1019112,17000000
1019,the bling ring,2013-06-12,Drame,1h 30min,Sofia Coppola,Sofia Coppola,"Emma Watson, Katie Chang, Israel Broussard",U.S.A.,Pathé,Box Office France,171 401,"3,1","2,5",492509,15000000
1020,"tin lung baat bou
",2023-05-10,"Action, Arts Martiaux, Aventure",2h 10min,Donnie Yen,"Kam Ka-Wai, Sheng Lingzhi, Wei Zhu","Donnie Yen, Yuqi Chen, Cya Liu",Hong-Kong,Eurozoom,Box Office France,12 831,"3,3","2,7",11023,0
1021,kingsman: the golden circle,2017-10-11,"Action, Espionnage, Comédie",2h 21min,Matthew Vaughn,"Jane Goldman, Matthew Vaughn","Taron Egerton, Colin Firth, Mark Strong",Grande-Bretagne,Twentieth Century Fox France,Box Office France,641 173,"3,1","3,8",789335,104000000
1023, turist,2015-01-28,"Drame, Comédie",1h 58min,Ruben Östlund,Ruben Östlund,"Johannes Kuhnke, Lisa Loven Kongsli, Clara Wettergren",Suède,Bac Films / DistriB Films,Box Office France,55 557,"3,5","3,3",358934,10000000
1024,splice,2010-06-30,Science fiction,1h 47min,Vincenzo Natali,"Vincenzo Natali, Antoinette Terry Bryant","Sarah Polley, Adrien Brody, Delphine Chanéac",France,Gaumont Distribution,Box Office France,137 963,"3,2","2,3",1068478,26000000
1025,frances ha,2013-07-03,Comédie dramatique,1h 26min,Noah Baumbach,"Noah Baumbach, Greta Gerwig","Greta Gerwig, Mickey Sumner, Michael Esper",U.S.A.,Memento Distribution,Box Office France,56 547,"4,1","3,8",475558,0
1026,training day,2001-11-07,"Policier, Thriller, Drame",2h 01min,Antoine Fuqua,David Ayer,"Denzel Washington, Ethan Hawke, Tom Berenger",U.S.A.,Warner Bros. France,Box Office France,245 701,"3,1","3,9",80940,45000000
1027,fifty shades of grey 2: fifty shades darker,2017-02-08,"Romance, Drame, Erotique",1h 58min,James Foley,Niall Leonard,"Dakota Johnson, Jamie Dornan, Bella Heathcote",U.S.A.,Universal Pictures International France,Box Office France,1 618 110,"1,5","2,4",1072827,55000000
1028,the adjustment bureau,2011-03-23,"Science fiction, Romance",1h 47min,George Nolfi,George Nolfi,"Matt Damon, Emily Blunt, Michael Kelly",U.S.A.,Universal Pictures International France,Box Office France,294 496,"3,0","3,4",2113579,50200000
1029,love actually,2003-12-03,"Romance, Comédie",2h 10min,Richard Curtis,Richard Curtis,"Hugh Grant, Liam Neeson, Martine McCutcheon",Grande-Bretagne,Mars Distribution,Box Office France,290 429,"3,0","3,8",400988,40000000
1030,gainsbourg (vie héroïque),2010-01-20,"Biopic, Musical",2h 10min,Joann Sfar,Joann Sfar,"Eric Elmosnino, Lucy Gordon, Laetitia Casta",France,Universal Pictures International France,Box Office France,511 713,"3,9","3,6",822408,0
1031,rango,2011-03-23,"Animation, Aventure, Action",1h 47min,Gore Verbinski,"John Logan, Gore Verbinski","Bruno Choël, Johnny Depp, Adeline Moreau",U.S.A.,Paramount Pictures France,Box Office France,519 450,"3,4","3,6",2660386,135000000
1032,okami kodomo no ame to yuki,2012-08-29,"Animation, Fantastique",1h 57min,Mamoru Hosoda,"Mamoru Hosoda, Satoko Okudera","Kumiko Aso, Megumi Hayashibara, Takuma Hiraoka",Japon,Eurozoom,Box Office France,36 672,"4,1","4,4",1271428,0
1033,rogue one: a star wars story,2016-12-14,"Science fiction, Aventure, Action",2h 14min,Gareth Edwards (V),"Chris Weitz, Tony Gilroy","Felicity Jones, Diego Luna, Ben Mendelsohn",U.S.A.,The Walt Disney Company France,Box Office France,1 798 117,"3,7","4,1",914964,200000000
1034,the nice guys,2016-05-15,"Comédie, Policier",1h 56min,Shane Black,"Shane Black, Anthony Bagarozzi","Ryan Gosling, Russell Crowe, Margaret Qualley",U.S.A.,EuropaCorp Distribution,Box Office France,112 639,"3,7","3,8",470827,50000000
1035,master & commander : the far side of the world,2003-12-31,"Historique, Aventure, Guerre",2h 18min,Peter Weir,"Peter Weir, John Collee","Russell Crowe, Paul Bettany, Billy Boyd",U.S.A.,United International Pictures (UIP),Box Office France,391 951,"4,2","3,6",146136,0
1036,the boat that rocked,2009-05-06,"Comédie, Romance, Musical",2h 15min,Richard Curtis,Richard Curtis,"Tom Sturridge, Philip Seymour Hoffman, Rhys Ifans",Grande-Bretagne,StudioCanal,Box Office France,182 517,"3,7","4,2",1414051,50000000
1037,la grande bellezza,2013-05-22,"Comédie, Drame",2h 21min,Paolo Sorrentino,"Paolo Sorrentino, Umberto Contarello","Toni Servillo, Carlo Verdone, Sabrina Ferilli",Italie,Pathé,Box Office France,47 900,"3,4","4,0",580977,9200000
1039,greenland,2020-08-05,"Thriller, Action, Drame",2h 00min,Ric Roman Waugh,Chris Sparling,"Gerard Butler, Morena Baccarin, David Denman",U.S.A.,Metropolitan FilmExport,Box Office France,193 402,"2,9","3,1",248929,34000000
1040,real steel,2011-10-19,"Science fiction, Action, Drame",2h 07min,Shawn Levy,John Gatins,"Hugh Jackman, Dakota Goyo, Evangeline Lilly",U.S.A.,The Walt Disney Company France,Box Office France,438 587,"2,8","3,7",3131685,110000000
1041,voyages en italie,2023-03-29,Comédie,1h 31min,Sophie Letourneur,"Sophie Letourneur, Laetitia Goffi","Philippe Katerine, Sophie Letourneur",France,Météore Films,Box Office France,16 693,"3,4","2,7",16187,1297000
1042,notre-dame brûle,2022-03-16,Drame,1h 50min,Jean-Jacques Annaud,"Jean-Jacques Annaud, Thomas Bidegain","Samuel Labarthe, Jean-Paul Bordes, Mikaël Chirinian",France,Pathé,Box Office France,388 293,"3,5","3,8",131523,35000000
1043,frontière(s),2008-01-23,"Thriller, Epouvante-horreur",1h 48min,Xavier Gens,Xavier Gens,"Karina Testa, Samuel Le Bihan, Estelle Lefebure",France,EuropaCorp Distribution,Box Office France,54 605,"2,1","2,2",695737,3000000
1044,suprêmes,2021-11-24,"Biopic, Musical",1h 52min,Audrey Estrougo,"Audrey Estrougo, Marcia Romano","Théo Christine, Sandor Funtek, Félix Lefebvre",France,Sony Pictures Releasing France,Box Office France,77 095,"3,4","3,4",94850,0
1045,blood diamond,2007-01-31,"Aventure, Drame, Thriller",2h 23min,Edward Zwick,"Charles Leavitt, C. Gaby Mitchell","Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly",U.S.A.,Warner Bros. France,Box Office France,419 722,"3,5","4,1",480315,100000000
1046,serbuan maut,2012-06-20,"Action, Thriller, Arts Martiaux",1h 41min,Gareth Evans,Gareth Evans,"Iko Uwais, Yayan Ruhian, Joe Taslim",U.S.A.,SND,Box Office France,117 503,"3,7","3,7",1969936,1100000
1047,open water 2: adrift,2007-06-27,"Drame, Thriller",1h 30min,Hans Horn,"David Mitchell (VI), Adam Kreutner","Eric Dane, Susan May Pratt, Niklaus Lange",Allemagne,TFM Distribution,Box Office France,55 495,"2,0","2,1",251185,1200000
1048,happy end,2017-10-04,Drame,1h 48min,Michael Haneke,Michael Haneke,"Isabelle Huppert, Jean-Louis Trintignant, Mathieu Kassovitz",France,Les Films du Losange,Box Office France,45 026,"2,6","2,4",300542,13600000
1049,la cour des miracles,2022-09-28,Comédie,1h 34min,Carine May,"Hakim Zouhani, Carine May, Hakim Zouhani","Rachida Brakni, Anaïde Rozam, Gilbert Melki",France,Haut et Court,Box Office France,20 495,"2,9","3,0",115686,3800000
1050,jeux d'enfants,2003-09-17,"Romance, Comédie, Drame",1h 33min,Yann Samuell,Yann Samuell,"Guillaume Canet, Marion Cotillard, Thibault Verhaeghe",France,Mars Distribution,Box Office France,341 667,"2,9","3,6",563619,0
1051,la stanza del figlio,2001-05-18,Drame,1h 39min,Nanni Moretti,"Linda Ferri, Nanni Moretti","Nanni Moretti, Laura Morante, Jasmine Trinca",Italie,Bac Films,Box Office France,158 292,"4,4","3,8",32501,0
1052,rien à foutre,2022-03-02,"Comédie dramatique, Drame, Comédie",1h 55min,Emmanuel Marre,"Julie Lecoustre, Emmanuel Marre, Julie Lecoustre","Adèle Exarchopoulos, Alexandre Perrier, Mara Taquin",France,Condor Distribution,Box Office France,53 656,"3,9","2,9",201419,0
1053,de son vivant,2021-11-24,Drame,2h 02min,Emmanuelle Bercot,"Emmanuelle Bercot, Marcia Romano","Catherine Deneuve, Benoît Magimel, Gabriel Sara",France,StudioCanal,Box Office France,90 106,"3,4","3,9",115725,0
1054,mignonnes,2020-08-19,"Drame, Comédie",1h 35min,Maimouna Doucouré,Maimouna Doucouré,"Fathia Youssouf, Medina El Aidi, Esther Gohourou",France,Bac Films,Box Office France,36 415,"3,6","2,7",333589,0
1056,hitman,2007-12-26,"Action, Policier, Drame",1h 32min,Xavier Gens,Skip Woods,"Timothy Olyphant, Dougray Scott, Olga Kurylenko",France,EuropaCorp Distribution,Box Office France,381 525,"2,6","2,5",746707,24000000
1057,sex and the city - the movie,2008-05-28,"Comédie, Romance",2h 25min,Michael Patrick King,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon",U.S.A.,Metropolitan FilmExport,Box Office France,800 145,"2,8","2,6",1133467,65000000
1060,"good luck to you, leo grande",2022-11-30,"Comédie, Romance",1h 37min,Sophie Hyde,Katy Brand,"Emma Thompson, Daryl McCormack, Les Mabaleka",Grande-Bretagne,Wild Bunch Distribution,Box Office France,23 381,"3,2","3,7",99696,0
1061,catwoman,2004-09-08,"Fantastique, Action",1h 44min,Pitof,"John Rogers (II), Mike Ferris","Halle Berry, Benjamin Bratt, Sharon Stone",U.S.A.,Warner Bros. France,Box Office France,334 500,"2,4","1,3",194852,100000000
1062,beautiful boy,2019-02-06,Drame,2h 01min,Felix Van Groeningen,"Luke Davies, Felix Van Groeningen","Steve Carell, Timothée Chalamet, Jack Dylan Grazer",U.S.A.,Metropolitan FilmExport,Box Office France,45 083,"3,2","4,0",247829,25000000
1063,silence,2017-02-08,"Drame, Historique",2h 42min,Martin Scorsese,"Martin Scorsese, Jay Cocks","Andrew Garfield, Adam Driver, Liam Neeson",U.S.A.,Metropolitan FilmExport,Box Office France,163 009,"3,8","3,6",910321,46000000
1064,spider-man 2,2004-07-14,"Fantastique, Action",2h 07min,Sam Raimi,"David Koepp, Alfred Gough","Tobey Maguire, Kirsten Dunst, Alfred Molina",U.S.A.,Columbia TriStar Films,Box Office France,2 100 789,"4,6","3,8",2487225,200000000
1065,hannibal,2001-02-28,Thriller,2h 05min,Ridley Scott,"David Mamet, Steven Zaillian","Anthony Hopkins, Julianne Moore, Gary Oldman",Grande-Bretagne,United International Pictures (UIP),Box Office France,609 324,"3,3","3,6",99804,87000000
1066,jason bourne,2016-08-10,"Action, Thriller",2h 04min,Paul Greengrass,"Paul Greengrass, Christopher Rouse","Matt Damon, Tommy Lee Jones, Alicia Vikander",U.S.A.,Universal Pictures International France,Box Office France,608 491,"3,2","3,4",100297,120000000
